"","year","brood","offspring","rank","dam","sire","pair","valid_cross","dam.type","sire.type","hothiphop.parents","hiphop","hot.parents","hot.dam","hot.sire","hothiphop.dam","hothiphop.sire","below.threshold","threshold","loci.dyad.dam","loci.dyad.sire","loci.triad","offspring.heterozygosity","social.mother.sampled","social.father.sampled","social.mother","social.father","condition","ranking","ranking2"
"120",2015,"Test_F1","SAR_15_6740",3,"SAR_15_6454","SAR_15_6401","SAR_15_6401_SAR_15_6454",FALSE,"within-group subordinate","within-group subordinate",347,229,118,22,103,251,332,1,99999,4982,4921,4908,0.317326930772309,0,0,NA,NA,"none","hothiphop.parents","none"
"121",2015,"Test_F1","SAR_15_6741",1,"SAR_15_6440","SAR_15_6401","SAR_15_6401_SAR_15_6440",FALSE,"within-group subordinate","within-group subordinate",361,253,108,25,89,278,342,1,99999,4902,4857,4832,0.341107280470493,0,0,NA,NA,"none","hothiphop.parents","none"
"122",2015,"Test_F1","SAR_15_6741",2,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",371,243,128,107,89,350,332,1,99999,3010,4857,2989,0.341107280470493,0,0,NA,NA,"none","hothiphop.parents","none"
"123",2015,"Test_F1","SAR_15_6741",3,"SAR_15_6440","SAR_15_6407","SAR_15_6407_SAR_15_6440",FALSE,"within-group subordinate","within-group subordinate",380,251,129,25,116,276,367,1,99999,4902,4899,4872,0.341107280470493,0,0,NA,NA,"none","hothiphop.parents","none"
"124",2015,"Test_F1","SAR_15_6742",1,"SAR_15_6409","SAR_15_6418","SAR_15_6409_SAR_15_6418",TRUE,"within-group subordinate","within-group subordinate",170,104,66,37,33,141,137,1,99999,4982,4945,4934,0.344682555577809,0,0,NA,NA,"none","hothiphop.parents","none"
"125",2015,"Test_F1","SAR_15_6742",2,"SAR_15_6508","SAR_15_6418","SAR_15_6418_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",369,248,121,109,33,357,281,1,99999,3025,4945,3007,0.344682555577809,0,0,NA,NA,"none","hothiphop.parents","none"
"126",2015,"Test_F1","SAR_15_6742",3,"SAR_15_6409","SAR_15_6401","SAR_15_6401_SAR_15_6409",FALSE,"within-group subordinate","within-group subordinate",382,267,115,37,87,304,354,1,99999,4982,4918,4907,0.344682555577809,0,0,NA,NA,"none","hothiphop.parents","none"
"127",2015,"Test_F1","SAR_15_6743",1,"SAR_15_6440","SAR_15_6401","SAR_15_6401_SAR_15_6440",FALSE,"within-group subordinate","within-group subordinate",349,261,88,19,75,280,336,1,99999,4960,4911,4887,0.3676293622142,0,0,NA,NA,"none","hothiphop.parents","none"
"128",2015,"Test_F1","SAR_15_6743",2,"SAR_15_6437","SAR_15_6401","SAR_15_6401_SAR_15_6437",FALSE,"within-group subordinate","within-group subordinate",367,239,128,113,75,352,314,1,99999,2650,4911,2631,0.3676293622142,0,0,NA,NA,"none","hothiphop.parents","none"
"129",2015,"Test_F1","SAR_15_6743",3,"SAR_15_6440","SAR_15_6407","SAR_15_6407_SAR_15_6440",FALSE,"within-group subordinate","within-group subordinate",374,266,108,19,92,285,358,1,99999,4960,4953,4929,0.3676293622142,0,0,NA,NA,"none","hothiphop.parents","none"
"130",2015,"Test_F1","SAR_15_6744",1,"SAR_15_6450","SAR_15_6458","SAR_15_6450_SAR_15_6458",TRUE,"within-group subordinate","within-group subordinate",169,106,63,34,31,140,137,1,99999,4929,4935,4913,0.333669965663502,0,0,NA,NA,"none","hothiphop.parents","none"
"131",2015,"Test_F1","SAR_15_6744",2,"SAR_15_6508","SAR_15_6401","SAR_15_6401_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",355,224,131,107,98,331,322,1,99999,3010,4875,2989,0.333669965663502,0,0,NA,NA,"none","hothiphop.parents","none"
"132",2015,"Test_F1","SAR_15_6744",3,"SAR_15_6450","SAR_15_6401","SAR_15_6401_SAR_15_6450",FALSE,"within-group subordinate","within-group subordinate",363,243,120,34,98,277,341,1,99999,4929,4875,4855,0.333669965663502,0,0,NA,NA,"none","hothiphop.parents","none"
"133",2015,"Test_F1","SAR_15_6745",1,"SAR_15_6409","SAR_15_6418","SAR_15_6409_SAR_15_6418",TRUE,"within-group subordinate","within-group subordinate",122,73,49,19,32,92,105,1,99999,5010,4977,4960,0.33658245474438,0,0,NA,NA,"none","hothiphop.parents","none"
"134",2015,"Test_F1","SAR_15_6745",2,"SAR_15_6437","SAR_15_6418","SAR_15_6418_SAR_15_6437",FALSE,"within-group subordinate","within-group subordinate",348,202,146,140,32,342,234,1,99999,2663,4977,2646,0.33658245474438,0,0,NA,NA,"none","hothiphop.parents","none"
"135",2015,"Test_F1","SAR_15_6745",3,"SAR_15_6508","SAR_15_6418","SAR_15_6418_SAR_15_6508",FALSE,"within-group subordinate","within-group subordinate",353,233,120,112,32,345,265,1,99999,3027,4977,3008,0.33658245474438,0,0,NA,NA,"none","hothiphop.parents","none"
