"nloci","wild_samp","missing_data","generation","TP","FP","n_assignments"
5000,0.6,0.5,"f2",NA,NA,NA
10000,0.6,0.5,"f2",NA,NA,NA
100,0.8,0.5,"f2",NA,NA,NA
500,0.8,0.5,"f2",NA,NA,NA
1000,0.8,0.5,"f2",NA,NA,NA
5000,0.8,0.5,"f2",NA,NA,NA
10000,0.8,0.5,"f2",NA,NA,NA
100,1,0.5,"f2",0,1,1
500,1,0.5,"f2",NA,NA,NA
1000,1,0.5,"f2",NA,NA,NA
5000,1,0.5,"f2",NA,NA,NA
10000,1,0.5,"f2",NA,NA,NA
